Nom,Type,Latitude,Longitude,Superficie_m2
,pitch,3961714.588297804,789681.5420113626,276.2366197604662
,pitch,3961727.201437324,789692.0574890281,321.852131535595
,pitch,3961630.0635466743,791549.1970923967,1300.3368799573798
,pitch,3960111.2427630424,789209.7374876402,951.8324214779326
,pitch,3960131.6209415747,789184.0812482483,837.3311451146171
,pitch,3960115.1933954884,789166.1229999592,836.6751709113356
,pitch,3958254.981224962,788780.5586531742,472.63893590446406
,pitch,3958254.574376959,788764.0103224939,189.36664607867957
,pitch,3958247.0855378164,788814.7813102541,1146.8407561855347
,,3962549.924546154,789188.74515608,2212.822235625087
,pitch,3961112.2541608224,788917.2798029381,1022.4122262686454
,pitch,3961087.4840900074,788913.7149290773,1039.1906640100208
,pitch,3961059.6922116615,788911.1923514731,1162.8438864919326
,pitch,3961030.5800445955,788907.6173924004,1059.7817453906564
,pitch,3963564.5250877235,788955.1159164631,872.8038363144724
,pitch,3964856.7198578203,783221.0182353089,1597.1430431735005
,pitch,3964849.4263821216,783309.2300064099,1251.7718013220017
,pitch,3959877.8101286036,792370.4054775158,1324.3306045685326
,pitch,3960061.357774818,788745.9101437599,1101.4361477044517
,pitch,3960963.9580423953,788893.7028254183,3175.963437169102
,,3965436.6098648207,787855.5231654069,64.53523042559124
,,3965432.278050259,787879.125548807,86.56489359602784
,,3965433.1604731367,787901.1211533018,38.840078690493165
,park,3960981.6982568046,786915.5176480232,832.8632376729312
,pitch,3964694.0011615413,785876.0961123757,3142.9203977479565
,pitch,3964670.9396652565,785808.128146682,1235.4134258079926
,,3962770.993286285,792475.659503179,2592.836185139748
,,3962900.0730460943,792644.3562009927,564.5358399047191
,,3963340.211740886,792235.414185503,540.3071006151905
,,3958337.1342495712,781981.4539474217,227.44164591122848
,,3958297.375002314,781888.203358088,259.15460862320623
,,3958318.8336042315,781937.0167965941,58.761350575866246
,,3964934.751375563,786138.5415359479,239.07312838721052
,,3964151.8428983106,786322.7688975907,42887.474033749335
,,3964394.04691431,786148.7490048574,18726.201755916456
,,3964317.371857259,785687.5952685832,37367.24906917043
,,3964566.461643356,785848.6068472851,33190.103482840466
,,3964120.400962728,784913.1690000476,10060.432331963279
,,3964537.368818844,785081.9062867241,21866.702587029038
,,3960932.9980696915,785314.7680913238,8229.774181553805
,,3960870.54129311,785385.8227153965,7763.695117449979
,,3960968.4859512732,785203.9652360154,2919.634950719096
,,3960515.632605954,785013.571313986,32889.4464406565
,,3960125.5087166443,784694.7782513954,82315.75050884394
,,3964643.9082571915,787245.8448518418,3381.7733271153356
,,3964740.9248519647,787186.3147813685,4180.924095321398
,,3960894.4001500173,786204.9420041442,9987.281752714778
,,3958318.5248103747,788003.0221778052,101349.36892612686
,,3958133.558769025,787686.663828695,188873.571939635
,pitch,3958623.1401276,788136.7734868411,917.4893932656227
,,3964177.3162737647,792449.7132067598,65567.6629784113
,,3964296.869760687,792609.2892706734,28700.067335787717
,,3964431.673267229,792623.9070058139,34835.372449454095
,,3964505.4991436712,792773.6417402483,12456.771381757257
,,3965012.288024948,792945.2702801658,39511.341317873965
,,3964946.3607316483,793144.6545368489,22494.526408235408
,,3964836.720437333,793209.9864805358,11718.690429805072
,,3963380.307797234,790270.7925778636,21127.139445726472
,,3963224.8945518956,790422.8721903391,32119.572830080404
,,3963119.9294783305,790617.6047195751,15011.527537627795
,garden,3963306.08137498,790040.7459282851,41949.550390172975
,,3963452.289298968,789850.4570261175,13267.325535342949
,pitch,3962682.824419303,788309.6525382388,1381.0115050019238
,,3961744.055536434,790488.2347161615,7519.023282620832
,,3961677.037758961,790530.4990091753,10887.172661568804
,,3963032.834442294,793302.5794798455,22768.91165455035
,,3961184.0535753476,790054.6488892653,14531.288218802585
,,3961012.372450303,790064.788672683,9652.986683580939
,,3960806.763214526,789531.0814453639,11215.720388665928
,,3959978.6292578247,785170.2793849531,18509.13476386933
,,3963955.8686262355,785762.5766288933,22564.50105923732
,,3961194.9467296223,784892.9254305405,20749.717359643724
,,3960883.047730964,784811.7948602211,28448.313519287083
,,3960121.1317367037,783942.8902920017,19803.5081449148
,,3960232.024414371,783474.5511169985,58039.852010546245
,,3959646.0952365897,783119.5008456154,16220.572350941828
,,3958848.655039063,780893.290568903,37597.62073860974
,,3958854.6621214026,780519.2147504468,12729.320912119943
,,3961953.5164751895,787453.1117467395,3199.5730122781306
,,3962106.512352353,787603.2427940755,4017.2453895463827
,park,3961251.3845506273,789385.6851069398,1871.095764089616
,,3961205.7513574515,789326.0606736842,233.44052215415684
,,3960008.9633632577,791922.7150580691,27850.218687235407
,,3959793.9519445016,792239.6284036052,8985.377902344362
,,3959589.8853715137,792470.0073432077,6686.747142856734
,,3958689.916181419,794492.4577985093,2.3305851741329064
,,3962041.897835669,785294.0205203198,27276.37557196044
,,3960719.7888317336,784095.829934187,11309.255920560776
,,3960298.2759834835,783865.3410238529,3401.4830243010165
,,3960252.317115152,783801.5316971344,1674.9699749745002
,,3959908.322671012,783732.3752484497,4788.1287091287395
,,3961483.9854805837,777367.042601955,70822.97136606052
,,3961730.738539982,776890.5088048154,19614.66668589519
,,3961604.6879818966,777119.6486438279,40515.39027392021
,,3961713.233053952,777251.9785843224,34389.60871020513
,,3962805.1828513597,778238.3453199384,353932.5747566514
,,3962395.076339288,778543.6371787582,117941.0441973506
,,3961885.8409723183,791145.2513600836,7664.2999117497275
,,3961640.5631467206,790828.9155401135,36750.81680035532
,,3961367.978333182,790737.2548375259,22610.06811396
,,3961369.528512939,790639.7848326664,4184.645631803043
,,3961735.0072531267,790644.6770640156,14217.078273162891
,,3962168.516331011,791133.3314723269,53237.1214289826
,,3961769.4844976827,790461.9816920762,22343.980042530216
,,3962703.504865065,790472.2331599473,33155.55721799245
,,3960111.1130375126,787316.9807958128,4899.28205921129
,,3959690.552794094,784787.2539638206,3635.608888975311
,,3959745.602140899,784881.7074698191,27643.90744092782
,,3959869.8761131,784642.6818408571,9120.517785170527
,,3959628.729597175,785350.6482281409,57293.003970750004
,pitch,3959457.692316163,782195.7703435032,1376.776602942677
,,3958020.462266142,779935.6332765112,70386.98426298068
,,3957895.8988260585,779673.9763609474,28056.81884109418
,pitch,3958594.514939992,781308.5387301111,4600.593556196359
,,3958608.7989602517,781582.2456637146,37263.53442238246
,,3962705.453041125,789922.8397444963,17489.299988457195
,,3963151.9509454863,789269.5587696728,3251.7135199656336
,,3956788.6273521236,789117.8814756548,963.2689045941852
,,3956731.4676826852,789120.33388485,224.0905277469505
,,3958994.0705198464,789607.5109822707,3319.6820643656106
,,3961881.1869436167,787286.2630570106,2765.5236664142844
,,3961624.2071428597,786550.42070336,2835.7831860479228
,,3961474.785289596,786460.2108746497,1691.195197913617
,,3961206.778508776,786342.0390163438,6792.739920236716
,,3959607.145293589,783829.7638405381,4116.8055779573915
,,3959596.4809199637,783905.1767043315,1235.796070808593
,,3959605.5454090913,783949.6054670606,973.85722934408
,,3959632.951473073,783953.131782862,616.7289805490816
,,3959663.121041876,783952.4424826126,931.6842304500353
,,3959727.9916821565,783932.0940877382,958.9690971959558
,,3959757.4129591403,783907.9940563015,1383.4044996776101
,,3959708.6967228847,783801.9762567005,3780.6846117974005
,,3959776.3363649864,783865.428590002,2682.6806674650215
,,3958858.737066713,783285.1916928339,318.48460331717143
,,3958914.770927701,782961.7759346095,25162.349291921586
,,3957427.467067284,788948.107369852,52023.38539718133
,,3957126.9855344854,789125.6157517368,301.9849496075535
,,3957560.824304917,789067.5971552907,1365.0522644399985
,,3957629.8961250293,789071.5831732514,445.417789500219
,,3957748.251717757,789093.7488768188,1039.3927604054848
,,3957892.292327807,788960.66883622,9755.707164036912
,,3957646.3933798634,788506.4102899202,38732.80355247153
,,3956417.6427298174,788447.2800233758,10070.210924811916
,,3956319.2055181162,788398.5021257258,7208.97422998335
,,3956369.4450936806,788318.7925669396,13721.981193320484
,,3956519.0437106905,788508.3151559916,12155.861291305882
,,3956510.7299725157,788627.1374977116,10718.562261269155
,,3956518.7141777105,788136.7885643718,42602.07378908398
